Bowler,Frame,roll_1,roll_2
14,1,9,1
14,2,10,0
14,3,8,2
14,4,10,0
14,5,8,2
14,6,9,1
14,7,10,0
14,8,8,1
14,9,10,0
14,10,10,0
3,1,9,1
3,2,8,1
3,3,10,0
3,4,10,0
3,5,10,0
3,6,10,0
3,7,10,0
3,8,10,0
3,9,10,0
3,10,10,0
23,1,7,2
23,2,8,2
23,3,8,1
23,4,8,2
23,5,10,0
23,6,8,1
23,7,9,1
23,8,10,0
23,9,7,2
23,10,10,0
3,1,9,1
3,2,8,2
3,3,10,0
3,4,10,0
3,5,9,1
3,6,9,1
3,7,10,0
3,8,10,0
3,9,9,1
3,10,9,0
10,1,10,0
10,2,9,1
10,3,9,1
10,4,10,0
10,5,8,2
10,6,8,0
10,7,9,1
10,8,9,1
10,9,10,0
10,10,10,0
23,1,10,0
23,2,10,0
23,3,10,0
23,4,10,0
23,5,10,0
23,6,10,0
23,7,9,1
23,8,10,0
23,9,9,1
23,10,9,1
14,1,9,1
14,2,10,0
14,3,10,0
14,4,10,0
14,5,9,1
14,6,10,0
14,7,10,0
14,8,9,1
14,9,10,0
14,10,9,1
3,1,9,1
3,2,8,2
3,3,7,3
3,4,6,4
3,5,10,0
3,6,10,0
3,7,10,0
3,8,9,1
3,9,7,2
3,10,9,0
13,1,10,0
13,2,8,2
13,3,9,1
13,4,10,0
13,5,10,0
13,6,5,4
13,7,10,0
13,8,10,0
13,9,8,2
13,10,10,0
5,1,10,0
5,2,10,0
5,3,9,1
5,4,9,1
5,5,10,0
5,6,8,2
5,7,10,0
5,8,9,1
5,9,10,0
5,10,9,1
4,1,10,0
4,2,8,2
4,3,8,2
4,4,10,0
4,5,9,1
4,6,10,0
4,7,10,0
4,8,8,2
4,9,7,1
4,10,9,1
21,1,10,0
21,2,10,0
21,3,9,1
21,4,10,0
21,5,10,0
21,6,8,1
21,7,10,0
21,8,10,0
21,9,10,0
21,10,10,0
23,1,10,0
23,2,7,3
23,3,10,0
23,4,10,0
23,5,8,2
23,6,10,0
23,7,10,0
23,8,9,0
23,9,10,0
23,10,9,1
9,1,10,0
9,2,10,0
9,3,10,0
9,4,8,2
9,5,9,1
9,6,8,1
9,7,7,2
9,8,9,1
9,9,10,0
9,10,9,1
1,1,8,1
1,2,10,0
1,3,8,2
1,4,9,1
1,5,10,0
1,6,8,2
1,7,10,0
1,8,10,0
1,9,7,1
1,10,9,1
18,1,10,0
18,2,9,1
18,3,10,0
18,4,8,2
18,5,10,0
18,6,9,1
18,7,10,0
18,8,6,4
18,9,9,1
18,10,10,0
8,1,7,3
8,2,10,0
8,3,10,0
8,4,10,0
8,5,9,1
8,6,10,0
8,7,10,0
8,8,10,0
8,9,6,4
8,10,10,0
6,1,10,0
6,2,10,0
6,3,10,0
6,4,5,2
6,5,9,1
6,6,7,1
6,7,9,1
6,8,7,3
6,9,9,1
6,10,9,0
16,1,9,1
16,2,10,0
16,3,9,1
16,4,7,1
16,5,10,0
16,6,7,1
16,7,6,4
16,8,10,0
16,9,10,0
16,10,10,0
24,1,9,1
24,2,10,0
24,3,10,0
24,4,8,2
24,5,9,1
24,6,10,0
24,7,6,3
24,8,10,0
24,9,9,1
24,10,10,0
17,1,10,0
17,2,10,0
17,3,10,0
17,4,10,0
17,5,10,0
17,6,10,0
17,7,9,1
17,8,10,0
17,9,10,0
17,10,10,0
15,1,9,1
15,2,8,1
15,3,10,0
15,4,9,1
15,5,10,0
15,6,8,2
15,7,10,0
15,8,10,0
15,9,9,1
15,10,9,1
12,1,7,0
12,2,9,1
12,3,10,0
12,4,7,2
12,5,10,0
12,6,8,0
12,7,6,1
12,8,8,2
12,9,10,0
12,10,10,0
7,1,10,0
7,2,10,0
7,3,7,3
7,4,9,1
7,5,10,0
7,6,8,2
7,7,9,1
7,8,5,3
7,9,9,1
7,10,9,1
10,1,9,1
10,2,10,0
10,3,7,3
10,4,7,3
10,5,9,1
10,6,10,0
10,7,10,0
10,8,9,1
10,9,9,1
10,10,10,0
19,1,10,0
19,2,5,3
19,3,9,1
19,4,7,2
19,5,10,0
19,6,9,1
19,7,9,1
19,8,9,1
19,9,10,0
19,10,10,0
22,1,7,3
22,2,7,2
22,3,10,0
22,4,10,0
22,5,9,1
22,6,8,1
22,7,10,0
22,8,10,0
22,9,10,0
22,10,8,2
11,1,10,0
11,2,9,1
11,3,9,1
11,4,9,1
11,5,7,3
11,6,6,2
11,7,10,0
11,8,10,0
11,9,10,0
11,10,10,0
2,1,8,1
2,2,10,0
2,3,10,0
2,4,10,0
2,5,8,2
2,6,9,1
2,7,9,1
2,8,10,0
2,9,8,1
2,10,8,2
20,1,10,0
20,2,8,2
20,3,8,2
20,4,9,1
20,5,10,0
20,6,6,2
20,7,9,1
20,8,8,2
20,9,9,1
20,10,10,0
